icao,latitude,longitude,timezone,country_code
LFAB,49.884662,1.08101,,FR
LFAC,50.962101,1.95476,,FR
LFAD,49.431242,2.801514,,FR
LFAE,50.068168,1.424748,,FR
LFAF,49.595798,3.63167,,FR
LFAG,49.868871,3.029566,,FR
LFAI,48.596199,3.00679,,FR
LFAJ,48.709456,0.002856,,FR
LFAK,51.039559,2.549129,,FR
LFAL,47.69261,-0.002198,,FR
LFAM,50.4231,1.59194,,FR
LFAO,48.545799,-0.387444,,FR
LFAP,49.48097,4.363304,,FR
LFAQ,49.970049,2.693939,,FR
LFAR,49.672118,2.567811,,FR
LFAS,48.9272,-0.144722,,FR
LFAT,50.518284,1.621656,,FR
LFAU,49.622775,-1.830688,,FR
LFAV,50.327823,3.461061,,FR
LFAW,49.410424,5.889301,,FR
LFAX,48.539157,0.532043,,FR
LFAY,49.873004,2.387074,,FR
LFBA,44.174171,0.59309,,FR
LFBD,44.82865,-0.715356,,FR
LFBE,44.825298,0.518611,,FR
LFBG,45.658298,-0.3175,,FR
LFBH,46.179199,-1.19528,,FR
LFBI,46.5877,0.306666,,FR
LFBK,46.222599,2.36396,,FR
LFBL,45.862801,1.17944,,FR
LFBN,46.313477,-0.394529,,FR
LFBO,43.629101,1.36382,,FR
LFBP,43.380001,-0.418611,,FR
LFBT,43.178699,-0.006439,,FR
LFBU,45.729198,0.221456,,FR
LFBX,45.198101,0.815556,,FR
LFBZ,43.468372,-1.523223,,FR
LFCC,44.351398,1.47528,,FR
LFCI,43.913898,2.11306,,FR
LFCK,43.556301,2.28918,,FR
LFCQ,43.771099,2.01083,,FR
LFCR,44.407902,2.48267,,FR
LFCY,45.628101,-0.9725,,FR
LFDB,44.0257,1.37804,,FR
LFDG,43.8839,1.87556,,FR
LFDH,43.683606,0.599747,,FR
LFDN,45.887798,-0.983056,,FR
LFEA,47.325256,-3.201255,,FR
LFEB,48.443351,-2.103142,,FR
LFEC,48.4632,-5.06358,,FR
LFED,48.05674,-2.920818,,FR
LFEF,47.339771,0.945861,,FR
LFEG,46.59626,1.601572,,FR
LFEU,48.867519,5.185068,,FR
LFEY,46.717641,-2.392544,,FR
LFGA,48.109901,7.35901,,FR
LFGJ,47.038955,5.427589,,FR
LFHM,45.823005,6.649406,,FR
LFHO,44.544367,4.372194,,FR
LFHP,45.0807,3.76289,,FR
LFHS,46.200901,5.29203,,FR
LFHU,45.087399,6.083604,,FR
LFHV,45.918314,4.635184,,FR
LFHY,46.534599,3.42372,,FR
LFJL,48.982101,6.25132,,FR
LFJR,47.560299,-0.312222,,FR
LFKB,42.5527,9.48373,,FR
LFKC,42.530422,8.792984,,FR
LFKF,41.50185,9.097092,,FR
LFKG,42.053387,9.400241,,FR
LFKJ,41.923599,8.80292,,FR
LFKO,41.660599,8.88975,,FR
LFKS,41.9244,9.406,,FR
LFKX,45.407505,6.577597,,FR
LFLA,47.850201,3.49711,,FR
LFLB,45.6381,5.88023,,FR
LFLC,45.786701,3.16917,,FR
LFLD,47.060158,2.369633,,FR
LFLE,45.5611,5.97576,,FR
LFLG,45.218047,5.848317,,FR
LFLH,46.825813,4.817646,,FR
LFLJ,45.397531,6.63498,,FR
LFLL,45.725996,5.090139,,FR
LFLN,46.414019,4.014177,,FR
LFLO,46.053818,3.999023,,FR
LFLP,45.928947,6.0987,,FR
LFLS,45.3629,5.32937,,FR
LFLU,44.9216,4.9699,,FR
LFLV,46.16969,3.403637,,FR
LFLW,44.891399,2.42194,,FR
LFLX,46.860221,1.728326,,FR
LFLY,45.727947,4.943991,,FR
LFMA,43.506294,5.366426,,FR
LFMD,43.547998,6.955176,,FR
LFMH,45.5406,4.29639,,FR
LFMI,43.522701,4.92384,,FR
LFMK,43.216,2.30632,,FR
LFML,43.438088,5.2125,,FR
LFMN,43.658401,7.21587,,FR
LFMP,42.740398,2.87067,,FR
LFMQ,43.252499,5.78519,,FR
LFMR,44.387198,6.608831,,FR
LFMT,43.576199,3.96301,,FR
LFMU,43.323502,3.3539,,FR
LFMV,43.907299,4.90183,,FR
LFNA,44.455002,6.03778,,FR
LFNB,44.502102,3.53282,,FR
LFNC,44.701698,6.60028,,FR
LFOB,49.454399,2.11278,,FR
LFOE,49.028702,1.21986,,FR
LFOH,49.534038,0.088406,,FR
LFOI,50.143501,1.831891,,FR
LFOK,48.77333,4.20611,,FR
LFOO,46.476898,-1.72278,,FR
LFOP,49.384887,1.179142,,FR
LFOQ,47.678502,1.20884,,FR
LFOT,47.432201,0.727606,,FR
LFOU,47.0821,-0.877064,,FR
LFOV,48.032208,-0.743999,,FR
LFOZ,47.897758,2.164478,,FR
LFPB,48.962276,2.436539,,FR
LFPC,49.253502,2.51914,,FR
LFPF,48.843165,1.906279,,FR
LFPG,49.00896,2.554117,,FR
LFPK,48.839602,3.008653,,FR
LFPL,48.821028,2.625967,,FR
LFPN,48.7519,2.10619,,FR
LFPO,48.72333,2.37944,,FR
LFPT,49.096064,2.035543,,FR
LFPX,48.842323,1.9805,,FR
LFQG,47.002913,3.113114,,FR
LFQM,47.206615,6.083168,,FR
LFQQ,50.566564,3.102429,,FR
LFQT,50.618401,2.64224,,FR
LFQV,49.783901,4.64708,,FR
LFRB,48.447899,-4.41854,,FR
LFRC,49.650101,-1.47028,,FR
LFRD,48.5877,-2.07996,,FR
LFRE,47.289398,-2.34639,,FR
LFRF,48.883099,-1.56417,,FR
LFRG,49.365237,0.154481,,FR
LFRH,47.760601,-3.44,,FR
LFRI,46.7019,-1.37863,,FR
LFRJ,48.5303,-4.15164,,FR
LFRK,49.17678,-0.454883,,FR
LFRM,47.948604,0.201702,,FR
LFRN,48.0695,-1.73479,,FR
LFRO,48.754398,-3.47166,,FR
LFRQ,47.973031,-4.169655,,FR
LFRS,47.153198,-1.61073,,FR
LFRT,48.538628,-2.853518,,FR
LFRU,48.6031990051,-3.81577992439,,FR
LFRV,47.723301,-2.71856,,FR
LFRZ,47.31142,-2.152634,,FR
LFSB,47.60068,7.521117,,FR
LFSD,47.268902,5.09,,FR
LFSG,48.325001,6.06998,,FR
LFSL,45.039722,1.485556,,FR
LFSN,48.692101,6.23046,,FR
LFST,48.5383,7.62823,,FR
LFTH,43.097301,6.14603,,FR
LFTW,43.757401,4.41635,,FR
LFTZ,43.205399,6.482,,FR